crate_name,advisory_id,description,published_date,cvss_score,label
rcu_cell,GHSA-jh2g-xhqq-x4w9,,2021-08-25T21:00:07Z,,1
algorithmica,GHSA-jh37-772x-4hpw,,2021-08-25T21:01:52Z,,1
iced-x86,GHSA-jjx5-3f36-6927,,2021-08-25T20:55:47Z,,1
multiqueue2,GHSA-jphw-p3m6-pj3c,,2021-08-25T20:51:54Z,,1
reorder,GHSA-jpwg-6gf5-5vh9,,2021-08-25T20:54:10Z,,1
openssl-src,GHSA-jq65-29v4-4x35,,2021-08-25T20:45:15Z,,1
security-framework,GHSA-jqqr-c2r2-9cvr,,2021-08-25T20:42:59Z,,1
miow,GHSA-jrcf-4jp8-m28v,,2021-08-25T20:50:35Z,,1
raw-cpuid,GHSA-jrf8-cmgg-gv2m,,2021-08-25T20:53:07Z,,1
bunch,GHSA-jwph-qp5h-f9wj,,2021-08-25T20:59:18Z,,1
tiny_future,GHSA-m296-j53x-xv95,,2021-08-25T21:00:32Z,,1
image,GHSA-m2pf-hprp-3vqm,,2021-08-25T20:44:43Z,,1
ozone,GHSA-m3ww-7hrp-gw9w,,2021-08-25T20:47:41Z,,1
pancurses,GHSA-m57c-4vvx-gjgq,,2021-08-25T20:58:27Z,,1
beef,GHSA-m7w4-8wp8-m2xq,,2021-08-25T20:59:08Z,,1
crayon,GHSA-m833-jv95-mfjh,,2021-08-25T20:48:50Z,,1
crossbeam-channel,GHSA-m8h8-v6jh-c762,,2021-08-25T20:49:43Z,,1
nanorand,GHSA-m9m5-cg5h-r582,,2021-08-25T20:50:24Z,,1
slock,GHSA-mc36-5m36-hjh5,,2021-08-25T20:58:00Z,,1
rmpv,GHSA-mcrf-7hf9-f6q5,,2021-08-25T21:00:09Z,,1
noise_search,GHSA-mgg8-9pvp-6qcw,,2021-08-25T20:59:59Z,,1
protobuf,GHSA-mh6h-f25p-98f8,,2021-08-25T20:44:05Z,,1
vm-memory,GHSA-mm4m-qg48-f7wc,,2021-08-25T21:01:29Z,,1
vm-memory,GHSA-mm4m-qg48-f7wc,,2021-08-25T21:01:29Z,,1
smallvec,GHSA-mm7v-vpv8-xfc3,,2021-08-25T20:44:59Z,,1
rand_core,GHSA-mmc9-pwm7-qj5w,,2021-08-25T20:56:50Z,,1
rand_core,GHSA-mmc9-pwm7-qj5w,,2021-08-25T20:56:50Z,,1
sized-chunks,GHSA-mp6f-p9gp-vpj9,,2021-08-25T20:46:06Z,,1
xcb,GHSA-mp6r-fgw2-rxfx,,2021-08-25T20:53:27Z,,1
model,GHSA-mxv6-q98x-h958,,2021-08-25T20:56:07Z,,1
bat,GHSA-p24j-h477-76q3,,2021-08-25T21:01:37Z,,1
ozone,GHSA-p2q9-9cq6-h3jw,,2021-08-25T20:47:46Z,,1
socket2,GHSA-p5w9-856p-8q4g,,2021-08-25T21:00:23Z,,1
slice-deque,GHSA-p9gf-gmfv-398m,,2021-08-25T20:54:16Z,,1
mio,GHSA-pf3p-x6qj-6j7q,,2021-08-25T20:50:33Z,,1
v9,GHSA-pfjq-935c-4895,,2021-08-25T21:00:37Z,,1
pleaser,GHSA-pp74-39w2-v4w9,,2021-08-25T21:01:44Z,,1
may_queue,GHSA-pphf-f93w-gc84,,2021-08-25T20:51:47Z,,1
lock_api,GHSA-ppj3-7jw3-8vc4,,2021-08-25T20:49:35Z,,1
calamine,GHSA-ppqp-78xx-3r38,,2021-08-25T20:53:25Z,,1
portaudio,GHSA-pq6v-x7gp-7776,,2021-08-25T20:43:09Z,,1
crossbeam-deque,GHSA-pqqp-xmhj-wgcw,,2021-08-25T21:01:15Z,,1
crossbeam-deque,GHSA-pqqp-xmhj-wgcw,,2021-08-25T21:01:15Z,,1
cgc,GHSA-pwhf-7427-9vv2,,2021-08-25T20:56:57Z,,1
rulinalg,GHSA-q2gj-9r85-p832,,2021-08-25T20:48:09Z,,1
rusqlite,GHSA-q3cc-7p7g-392c,,2021-08-25T20:47:43Z,,1
hyper,GHSA-q89x-f52w-6hj2,,2021-08-25T20:43:04Z,,1
hyper,GHSA-q89x-f52w-6hj2,,2021-08-25T20:43:04Z,,1
os_str_bytes,GHSA-q948-x8rf-888m,,2021-08-25T20:47:55Z,,1
im,GHSA-q9h2-4xhf-23xx,,2021-08-25T20:51:36Z,,1
alpm-rs,GHSA-qc4m-gc8r-mg8m,,2021-08-25T20:48:59Z,,1
chunky,GHSA-qg24-8xj4-gj2h,,2021-08-25T20:58:13Z,,1
openssl-src,GHSA-qgm6-9472-pwq7,,2021-08-25T20:52:19Z,,1
heapless,GHSA-qgwf-r2jj-2ccv,,2021-08-25T20:56:09Z,,1
ark-r1cs-std,GHSA-qj3v-q2vj-4c8h,,2021-08-25T20:55:58Z,,1
parse_duration,GHSA-qpgv-g792-wh6x,,2021-08-25T20:54:04Z,,1
portaudio-rs,GHSA-qpjr-ch72-2qq4,,2021-08-25T20:45:17Z,,1
ordnung,GHSA-qrwc-jxf5-g8x6,,2021-08-25T20:48:40Z,,1
dync,GHSA-qxjq-v4wf-ppvh,,2021-08-25T20:49:47Z,,1
multiqueue,GHSA-r2x6-vrxx-jgv4,,2021-08-25T20:58:07Z,,1
linked-hash-map,GHSA-r43h-gmrm-h5c9,,2021-08-25T20:45:09Z,,1
abox,GHSA-r626-fc64-3q28,,2021-08-25T20:59:06Z,,1
pnet,GHSA-r6ff-2q3c-v3pv,,2021-08-25T21:00:01Z,,1
buttplug,GHSA-r7rv-2rph-hvhj,,2021-08-25T20:51:45Z,,1
syncpool,GHSA-r88h-6987-g79f,,2021-08-25T21:00:28Z,,1
failure,GHSA-r98r-j25q-rmpr,,2021-08-25T20:46:38Z,,1
id-map,GHSA-rccq-j2m7-8fwr,,2021-08-25T20:55:14Z,,1
sized-chunks,GHSA-rfgg-vccr-m46m,,2021-08-25T20:45:58Z,,1
adtensor,GHSA-rg4m-gww5-7p47,,2021-08-25T20:54:18Z,,1
ws,GHSA-rh7x-ppxx-p34c,,2021-08-25T20:49:32Z,,1
memoffset,GHSA-rh89-x75f-rh3c,,2021-08-25T20:44:00Z,,1
rusqlite,GHSA-rjh8-p66p-jrh5,,2021-08-25T20:46:59Z,,1
nb-connect,GHSA-rm4w-6696-r77p,,2021-08-25T20:52:14Z,,1
max7301,GHSA-rmff-f8w9-c9rm,,2021-08-25T20:59:22Z,,1
libflate,GHSA-rpcm-whqc-jfw8,,2021-08-25T20:44:53Z,,1
convec,GHSA-rpxm-vmr7-5f5f,,2021-08-25T20:59:15Z,,1
actix-codec,GHSA-rqgx-hpg4-456r,,2021-08-25T20:49:45Z,,1
hashconsing,GHSA-rw2c-c256-3r53,,2021-08-25T20:51:52Z,,1
smallvec,GHSA-rxr4-x558-x7hw,,2021-08-25T20:42:54Z,,1
actix-http,GHSA-v3j6-xf77-8r9c,,2021-08-25T20:49:39Z,,1
scottqueue,GHSA-v42f-j8fx-99f3,,2021-08-25T21:00:13Z,,1
crossbeam-channel,GHSA-v5m7-53cv-f3hx,,2021-08-25T21:01:13Z,,1
asn1_der,GHSA-v5r6-6r3c-wqxc,,2021-08-25T20:44:56Z,,1
ckb,GHSA-v666-6w97-pcwm,,2021-08-25T21:01:21Z,,1
truetype,GHSA-v7q4-97x4-4qw2,,2021-08-25T20:51:58Z,,1
lettre,GHSA-vc2p-r46x-m3vx,,2021-08-25T20:56:48Z,,1
lettre,GHSA-vc2p-r46x-m3vx,,2021-08-25T20:56:48Z,,1
lettre,GHSA-vc2p-r46x-m3vx,,2021-08-25T20:56:48Z,,1
pleaser,GHSA-vc5p-j8vw-mc6x,,2021-08-25T21:01:47Z,,1
rocket,GHSA-vcw4-8ph6-7vw8,,2021-08-25T20:54:20Z,,1
id-map,GHSA-vfqx-hv88-f9cv,,2021-08-25T20:55:22Z,,1
lock_api,GHSA-vh4p-6j7g-f4j9,,2021-08-25T20:49:56Z,,1
renderdoc,GHSA-vhfr-v4w9-45v8,,2021-08-25T20:44:51Z,,1
ruspiro-singleton,GHSA-vj88-5667-w56p,,2021-08-25T21:00:11Z,,1
fltk,GHSA-vjmg-pc8h-p6p8,,2021-08-25T20:53:58Z,,1
cookie,GHSA-vjrq-cg9x-rfjp,,2021-08-25T20:43:02Z,,1
syncpool,GHSA-vp6r-mrq9-8f4h,,2021-08-25T20:58:11Z,,1
endian_trait,GHSA-vpw8-43wm-rxw5,,2021-08-25T20:54:06Z,,1
abi_stable,GHSA-vq23-5h4f-vwpv,,2021-08-25T21:01:35Z,,1
bumpalo,GHSA-vqx7-pw4r-29rr,,2021-08-25T20:47:13Z,,1
generator,GHSA-w3g5-2848-2v8r,,2021-08-25T20:57:05Z,,1
lazy-init,GHSA-w47j-hqpf-qw9w,,2021-08-25T20:52:59Z,,1
rkyv,GHSA-w5cr-frph-hw7f,,2021-08-25T21:01:50Z,,1
actix-web,GHSA-w65j-g6c7-g3m4,,2021-08-25T20:42:50Z,,1
rand_core,GHSA-w7j2-35mf-95p7,,2021-08-25T20:52:16Z,,1
disrustor,GHSA-w9r2-qrpm-4rmj,,2021-08-25T20:56:59Z,,1
uu_od,GHSA-w9vv-q986-vj7x,,2021-08-25T20:54:24Z,,1
time,GHSA-wcg3-cvx6-7396,,2021-08-25T20:56:46Z,,1
time,GHSA-wcg3-cvx6-7396,,2021-08-25T20:56:46Z,,1
libpulse-binding,GHSA-wcxc-jf6c-8rx9,,2021-08-25T20:57:21Z,,1
bigint,GHSA-wgx2-6432-j3fw,,2021-08-25T20:48:04Z,,1
actix-service,GHSA-whc7-5p35-4ww2,,2021-08-25T20:49:06Z,,1
nano_arena,GHSA-wp34-mqw5-jj85,,2021-08-25T20:52:00Z,,1
untrusted,GHSA-wq8f-46ww-6c2h,,2021-08-25T20:43:49Z,,1
abi_stable,GHSA-wqxc-qrq4-w5v4,,2021-08-25T21:01:33Z,,1
late-static,GHSA-wr55-mf5c-hhwm,,2021-08-25T20:50:44Z,,1
sodiumoxide,GHSA-wrvc-72w7-xpmj,,2021-08-25T20:45:54Z,,1
magnetic,GHSA-wv4p-jp67-jr97,,2021-08-25T20:50:05Z,,1
