crate,downloads,recent_downloads,updated_at,created_at,max_version,description,repository,stars,forks,open_issues,license,active_ratio,updated_at_dt,days_since_update,created_at_dt,days_since_created,github_data_missing
unicode-width,253444560,40077131,2024-09-19T21:00:00.648797Z,2015-04-14T19:29:07.865266Z,0.2.0,"Determine displayed width of `char` and `str` types
according to Unicode Standard Annex #11 rules.
",https://github.com/unicode-rs/unicode-width,244,28,6,Other,0.15812977402237396,2024-09-19 21:00:00.648797+00:00,200,2015-04-14 19:29:07.865266+00:00,3646,0
unicode-bidi,250744472,22356915,2024-12-16T23:09:47.459625Z,2015-06-11T18:06:04.414255Z,0.3.18,Implementation of the Unicode Bidirectional Algorithm,https://github.com/servo/unicode-bidi,78,34,7,Other,0.08916214511799886,2024-12-16 23:09:47.459625+00:00,112,2015-06-11 18:06:04.414255+00:00,3588,0
form_urlencoded,247535186,37874493,2023-11-22T19:09:03.881753Z,2020-06-19T22:23:03.447945Z,1.2.1,"Parser and serializer for the application/x-www-form-urlencoded syntax, as used by HTML forms.",https://github.com/servo/rust-url,1381,345,146,Apache License 2.0,0.15300650227559973,2023-11-22 19:09:03.881753+00:00,502,2020-06-19 22:23:03.447945+00:00,1753,0
nom,246571931,34407301,2025-01-26T16:03:28.068915Z,2015-01-17T17:47:52.413792Z,8.0.0,"A byte-oriented, zero-copy, parser combinators library",https://github.com/rust-bakery/nom,9835,826,264,MIT License,0.13954265134907023,2025-01-26 16:03:28.068915+00:00,72,2015-01-17 17:47:52.413792+00:00,3733,0
nix,244332145,37603345,2024-05-24T12:23:09.842537Z,2014-11-11T22:15:48.567559Z,0.29.0,Rust friendly bindings to *nix APIs,https://github.com/nix-rust/nix,2780,687,276,MIT License,0.15390256979899228,2024-05-24 12:23:09.842537+00:00,319,2014-11-11 22:15:48.567559+00:00,3800,0
clap_lex,244118269,46064490,2024-12-05T21:15:27.308154Z,2022-04-15T19:08:14.988760Z,0.7.4,"Minimal, flexible command line parser",https://github.com/clap-rs/clap,14896,1091,352,Apache License 2.0,0.18869743009688472,2024-12-05 21:15:27.308154+00:00,123,2022-04-15 19:08:14.988760+00:00,1088,0
tinyvec_macros,240993812,31233425,2023-02-02T23:03:04.651564Z,2020-08-09T16:30:41.144543Z,0.1.1,Some macros for tiny containers,https://github.com/Soveu/tinyvec_macros,5,2,0,Apache License 2.0,0.12960260158049203,2023-02-02 23:03:04.651564+00:00,795,2020-08-09 16:30:41.144543+00:00,1703,0
cpufeatures,240595602,39779259,2025-01-25T01:35:46.131569Z,2021-04-26T17:07:17.776831Z,0.2.17,"Lightweight runtime CPU feature detection for aarch64, loongarch64, and x86/x86_64 targets, 
with no_std support and support for mobile targets including Android and iOS
",https://github.com/RustCrypto/utils,492,136,28,,0.16533660079123141,2025-01-25 01:35:46.131569+00:00,73,2021-04-26 17:07:17.776831+00:00,1443,0
windows-targets,236494591,50085038,2025-01-07T15:43:41.583963Z,2022-09-09T14:29:19.927693Z,0.53.0,Import libs for Windows,https://github.com/microsoft/windows-rs,11146,541,20,Apache License 2.0,0.21178090284525788,2025-01-07 15:43:41.583963+00:00,91,2022-09-09 14:29:19.927693+00:00,942,0
futures-macro,236106818,34790169,2024-10-05T07:07:15.104978Z,2019-11-06T18:21:14.020889Z,0.3.31,"The futures-rs procedural macro implementations.
",https://github.com/rust-lang/futures-rs,5574,644,249,Apache License 2.0,0.14734927730888314,2024-10-05 07:07:15.104978+00:00,185,2019-11-06 18:21:14.020889+00:00,1979,0
env_logger,234053873,32549251,2025-04-01T19:37:14.047276Z,2015-01-27T15:33:08.586936Z,0.11.8,"A logging implementation for `log` which is configured via an environment
variable.
",https://github.com/rust-cli/env_logger,919,138,40,Apache License 2.0,0.1390673462600638,2025-04-01 19:37:14.047276+00:00,6,2015-01-27 15:33:08.586936+00:00,3724,0
crossbeam-epoch,233814637,32295014,2024-01-08T12:56:47.048640Z,2017-11-26T17:32:53.106278Z,0.9.18,Epoch-based garbage collection,https://github.com/crossbeam-rs/crossbeam,7772,485,150,Apache License 2.0,0.1381222938579333,2024-01-08 12:56:47.048640+00:00,456,2017-11-26 17:32:53.106278+00:00,2690,0
httparse,231276965,35840312,2025-03-03T14:44:09.975762Z,2015-02-20T18:34:43.448730Z,1.10.1,"A tiny, safe, speedy, zero-copy HTTP/1.x parser.",https://github.com/seanmonstar/httparse,627,116,29,Apache License 2.0,0.1549670629757702,2025-03-03 14:44:09.975762+00:00,36,2015-02-20 18:34:43.448730+00:00,3699,0
termcolor,230519365,26314893,2024-01-10T12:40:32.427230Z,2016-11-20T20:45:01.476057Z,1.4.1,"A simple cross platform library for writing colored text to a terminal.
",https://github.com/BurntSushi/termcolor,478,48,13,The Unlicense,0.11415480430461883,2024-01-10 12:40:32.427230+00:00,454,2016-11-20 20:45:01.476057+00:00,3060,0
crc32fast,229304825,33555785,2024-05-20T15:47:13.301655Z,2018-11-13T12:53:18.900720Z,1.4.2,"Fast, SIMD-accelerated CRC32 (IEEE) checksum computation",https://github.com/srijs/rust-crc32fast,289,36,14,Apache License 2.0,0.14633702103738985,2024-05-20 15:47:13.301655+00:00,323,2018-11-13 12:53:18.900720+00:00,2338,0
